,,,Breakpoint Positions
,,In Alignment, ,In Recombinant Sequence, ,Relative to OR371570_human_CHN_2022_HAstV-4-Fuzhou-2022-10_NA_,, , , , , , Detection Methods
Recombination Event Number, Number In .RDP File, Begin, End,Begin, End,Begin, End, Recombinant Sequence(s), Minor Parental Sequence(s), Major Parental Sequence(s), RDP, GENECONV, Bootscan, Maxchi, Chimaera, SiSscan,PhylPro, LARD, 3Seq
 1 ,1, 6044, 7182, 5588, 6615, 5606, 6633,OP432296_human_CHN_2021_NA_HAstV-4-RC-21047_NA_ser,OP432301_human_CHN_2022_NA_HAstV-4-QD-L-22019_NA_s,LC694994_human_JPN_2020_NA_HAstV1-193055-Tokyo-202, 1.50846468791149E-139, 3.68306409104719E-125, 1.10997121923666E-99, 5.73980389173962E-54, 1.34348874055193E-54, 1.15344368744396E-64,NS,NS, 1.82431847406406E-11,
 1,,,,,,,,,OR371570_human_CHN_2022_HAstV-4-Fuzhou-2022-10_NA_,ON571597_human_CHN_2019_NA_2019-Pingtan-42_feces_s
 1,,,,,,,,,ON571598_human_CHN_2021_NA_2021-Fuzhou-37_feces_se,ON571596_human_CHN_2019_NA_2019-Fuzhou-306_feces_s
 1,,,,,,,,,OP432300_human_CHN_2022_NA_HAstV-4-QD-S-22022_NA_s,LC694995_human_JPN_2020_NA_HAstV1-192642-Tokyo-202
 1,,,,,,,,,OP432299_human_CHN_2021_NA_HAstV-4-RC-21045_NA_ser,LC694993_human_JPN_2020_NA_HAstV1-193061-Tokyo-202
 1,,,,,,,,,OP432298_human_CHN_2022_NA_HAstV-4-QD-S-22015_NA_s,LC694992_human_JPN_2021_NA_HAstV1-210628-Tokyo-202
 1,,,,,,,,,OP432297_human_CHN_2022_NA_HAstV-4-QD-L-22001_NA_s,LC694991_human_JPN_2021_NA_HAstV1-210764-Tokyo-202
 1,,,,,,,,,OP432295_human_CHN_2022_NA_HAstV-4-QD-F-22056_NA_s,LC694990_human_JPN_2018_NA_HAstV1-181937-Tokyo-201
 1,,,,,,,,,OP432294_human_CHN_2022_NA_HAstV-4-QD-L-22040_NA_s,LC694989_human_JPN_2021_NA_HAstV1-210956-Tokyo-202
 1,,,,,,,,,OP432293_human_CHN_2021_NA_HAstV-4-RC-21027_NA_ser,LC694988_human_JPN_2021_NA_HAstV1-210963-Tokyo-202
 1,,,,,,,,,KF039913_NA_RUS_2010_NA_Rus-Nsc10-N358_NA_serotype,LC694987_human_JPN_2021_NA_HAstV1-210984-Tokyo-202
