OR427988.1	MK059954.1	87.538	329	41	0	1	329	4328	4656	3.03e-109	381
OR427987.1	MK059954.1	88.146	329	39	0	1	329	4328	4656	1.40e-112	392
OR427986.1	MK059954.1	89.521	334	35	0	1	334	4328	4661	4.96e-122	424
OR427985.1	MK059954.1	85.196	331	42	5	1	326	4328	4656	8.52e-95	333
OR427984.1	MK059954.1	83.442	459	74	2	1	458	3646	4103	1.96e-122	425
OR427983.1	MK059954.1	83.883	515	81	2	1	514	3607	4120	7.54e-142	490
OR427982.1	MK059954.1	84.123	359	57	0	1	359	3613	3971	3.33e-99	348
OR427981.1	MK059954.1	84.400	500	78	0	1	500	3604	4103	2.04e-142	492
OR427980.1	MK059954.1	84.310	478	75	0	1	478	3637	4114	3.28e-135	468
OR427979.1	MK059954.1	86.892	473	62	0	1	473	3643	4115	4.15e-154	531
PP916236.1	MK059954.1	81.900	3221	571	12	2221	5435	2478	5692	0.0	2708
PP916236.1	MK059954.1	81.052	2053	379	10	1	2048	300	2347	0.0	1628
PP916236.1	MK059954.1	97.143	105	2	1	6411	6514	6641	6745	3.11e-46	176
PP901928.1	MK059954.1	81.647	5623	974	48	13	5608	1	5592	0.0	4614
PP901928.1	MK059954.1	76.484	438	58	33	6374	6804	6346	6745	2.50e-52	196
PP901927.1	MK059954.1	81.637	5620	974	48	20	5612	4	5592	0.0	4608
PP901927.1	MK059954.1	76.484	438	58	33	6378	6808	6346	6745	2.50e-52	196
PP901926.1	MK059954.1	81.474	5495	948	50	1	5467	11	5463	0.0	4444
PP901926.1	MK059954.1	95.098	102	5	0	6623	6724	6640	6741	9.00e-42	161
OR690946.1	MK059954.1	83.613	476	69	7	1	470	4328	4800	2.57e-126	438
OR690945.1	MK059954.1	83.613	476	69	7	1	470	4328	4800	2.57e-126	438
OR690944.1	MK059954.1	84.335	466	66	4	1	461	4328	4791	1.19e-129	449
OR690943.1	MK059954.1	84.549	466	65	4	1	461	4328	4791	2.55e-131	455
OR690942.1	MK059954.1	86.207	464	64	0	1	464	4328	4791	9.04e-146	503
OR690941.1	MK059954.1	86.207	464	64	0	1	464	4328	4791	9.04e-146	503
OR690940.1	MK059954.1	87.631	477	59	0	1	477	4328	4804	6.84e-162	556
OR690939.1	MK059954.1	88.260	477	56	0	1	477	4328	4804	2.44e-166	571
OR690938.1	MK059954.1	87.002	477	62	0	1	477	4328	4804	2.48e-156	538
OR690937.1	MK059954.1	84.375	480	73	2	1	479	4328	4806	9.17e-136	470
OR690936.1	MK059954.1	84.375	480	73	2	1	479	4328	4806	9.17e-136	470
OR690935.1	MK059954.1	84.167	480	74	2	1	479	4328	4806	4.27e-134	464
OR690934.1	MK059954.1	84.200	481	72	4	1	479	4328	4806	9.17e-136	470
OR690933.1	MK059954.1	84.167	480	74	2	1	479	4328	4806	4.27e-134	464
OR690932.1	MK059954.1	84.375	480	73	2	1	479	4328	4806	9.17e-136	470
