tip	date	distance	residual
LC694997_human_JPN_2018_NA_HAstV1-181289-Tokyo-2018_NA_serotype_1	2018.0	0.08424611159564417	-0.013928775536615243
LC694996_human_JPN_2018_NA_HAstV1-181290-Tokyo-2018_NA_serotype_1	2018.0	0.08424611159564417	-0.013928775536615243
MW485040_human_KEN_2019_KLF-HAstV1-008-2019_NA_NA_serotype_1	2019.0	0.08273625139564418	-0.017710426087582484
OQ630461_human_GIN_2021_NA_SEN-21-286-S1_Stool-Sample-of-non-polio-AFP_serotype_1	2021.0	0.10618104399564418	0.0011907858104830138
ON571597_human_CHN_2019_NA_2019-Pingtan-42_feces_serotype_1	2019.0	0.10064613619564416	1.9945871241749957E-4
ON571596_human_CHN_2019_NA_2019-Fuzhou-306_feces_serotype_1	2019.0	0.09916356749564417	-0.0012831099875824925
LC694995_human_JPN_2020_NA_HAstV1-192642-Tokyo-2020_NA_serotype_1	2020.0	0.10213903579564416	-5.794320385497514E-4
LC694991_human_JPN_2021_NA_HAstV1-210764-Tokyo-2021_NA_serotype_1	2021.0	0.10213254909564416	-0.002857709089517005
LC694989_human_JPN_2021_NA_HAstV1-210956-Tokyo-2021_NA_serotype_1	2021.0	0.10213825459564417	-0.0028520035895169965
LC694988_human_JPN_2021_NA_HAstV1-210963-Tokyo-2021_NA_serotype_1	2021.0	0.10065119979564417	-0.004339058389516995
LC694994_human_JPN_2020_NA_HAstV1-193055-Tokyo-2020_NA_serotype_1	2020.0	0.10213670689564416	-5.817609385497524E-4
LC694993_human_JPN_2020_NA_HAstV1-193061-Tokyo-2020_NA_serotype_1	2020.0	0.10213670689564416	-5.817609385497524E-4
LC694986_human_JPN_2022_NA_HAstV1-211185-Tokyo-2022_NA_serotype_1	2022.0	0.10515162809564417	-0.002110420440484248
LC694990_human_JPN_2018_NA_HAstV1-181937-Tokyo-2018_NA_serotype_1	2018.0	0.10369154479564417	0.005516657663384758
LC694992_human_JPN_2021_NA_HAstV1-210628-Tokyo-2021_NA_serotype_1	2021.0	0.09916295519564416	-0.0058273029895170025
LC694987_human_JPN_2021_NA_HAstV1-210984-Tokyo-2021_NA_serotype_1	2021.0	0.10215040539564417	-0.0028398527895169973
MT832897_human_BRA_2015_MAstV-1-Hu-BRA-TO-161-2015_TO-161_feces_serotype_1	2015.0	0.10670250179564417	0.015342985716285618
MT832894_human_BRA_2011_MAstV-1-Hu-BRA-TO-162-2011_TO-162_feces_serotype_1	2011.0	0.10670250179564417	0.02443014712015462
MT832893_human_BRA_2015_MAstV-1-Hu-BRA-TO-160-2015_TO-160_feces_serotype_1	2015.0	0.10670250179564417	0.015342985716285618
MT832892_human_BRA_2015_MAstV-1-Hu-BRA-TO-98-2015_TO-98_feces_serotype_1	2015.0	0.10670250179564417	0.015342985716285618
MT832895_human_BRA_2015_MAstV-1-Hu-BRA-TO-171-2015_TO-171_feces_serotype_1	2015.0	0.10670250179564417	0.015342985716285618
MT832896_human_BRA_2015_MAstV-1-Hu-BRA-TO-208-2015_TO-208_feces_serotype_1	2015.0	0.10521684979564418	0.013857333716285627
HQ398856_human_HUN_2010_Hu-Nyergesujfalu-HUN4520-2010-HUN_NA_fecal-sample_serotype_1	2010.0	0.11144498669564416	0.03144442237112187
MN433704_human_USA_2013_Hu-US-2013-CA-RGDS-1071_NA_stool_serotype_1	2013.0	0.10069676399564417	0.013880828618220126
MN433703_human_USA_2013_Hu-US-2013-CA-RGDS-1070_NA_stool_serotype_1	2013.0	0.09921478619564417	0.01239885081822012
FJ755405_human_CHN_2007_Beijing-293-2007-CHN_NA_stool_serotype_1	2007.0	0.055623587104355846	-0.017561606167265584
FJ755402_human_CHN_2005_Beijing-128-2005-CHN_NA_stool_serotype_1	2005.0	0.04434884610435584	-0.024292766465331087
FJ755404_human_CHN_2007_Beijing-291-2007-CHN_NA_stool_serotype_1	2007.0	0.058107938804355844	-0.015077254467265586
FJ755403_human_CHN_2006_Beijing-176-2006-CHN_NA_stool_serotype_1	2006.0	0.06559669929564416	-0.005316703625010022
JN887820_human_KOR_2006_lhar-2011-kor_NA_stool_serotype_1	2006.0	0.06965399289564417	-0.0012594100250100104
AY720892_NA_NA_2004_Dresden_NA_NA_serotype_1	2004.0	0.06870187669564416	0.002332054476924486
KF211475_human_CHN_2010_NA_JZ_NA_serotype_1	2010.0	0.05741439609564416	-0.022586168228878135
NC030922_NA_IND_2004_NA_V1347_NA_serotype_1	2004.0	0.06684605919564417	4.7623697692449063E-4
ON571594_human_CHN_2019_NA_2019-Fuzhou-26_feces_serotype_1	2019.0	0.08592141099564417	-0.014525266487582497
KC342249_human_CHN_2012_NA_km1_stool-sample_serotype_1	2012.0	0.08748498969564418	0.002940844669187384
